score
38
37
35
33
33
31
30
29
29
28
28
27
27
26
26
26
25
25
23
23
23
21
21
20
19
19
18
18
17
17
16
16
16
16
16
16
16
16
15
15
15
15
15
14
14
14
14
12
12
12
12
12
12
11
11
11
11
10
10
10
10
10
10
10
9
9
9
9
9
9
8
8
8
8
8
8
7
7
7
7
7
6
6
6
6
5
5
5
5
5
4
4
4
4
4
4
4
4
3
2
1
