score
29
28
28
27
27
26
23
23
21
19
18
38
37
35
33
33
31
30
29
18
17
16
16
21
11
11
11
10
10
10
10
10
10
10
9
9
9
9
9
9
8
8
8
8
20
19
16
16
16
15
15
15
15
15
17
16
16
14
14
14
14
12
12
12
12
12
12
11
8
8
7
7
7
7
7
6
6
6
6
5
5
5
5
5
4
4
4
4
4
2
1
4
4
4
3
26
26
25
25
23
